pid,laddr,raddr,status
300,"('10.250.104.122', 52684)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 63725)","('169.55.69.157', 443)",ESTABLISHED
300,"('10.250.104.122', 52456)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52520)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 58924)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52601)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52501)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52743)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52540)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52702)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52622)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52639)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 58786)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52661)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52722)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52763)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 60347)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 58898)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 58831)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 62745)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 52806)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 58971)","('31.13.77.49', 443)",ESTABLISHED
300,"('10.250.104.122', 58993)","('31.13.77.49', 443)",ESTABLISHED
290,"('10.250.104.122', 63322)","('17.133.229.73', 993)",ESTABLISHED
290,"('10.250.104.122', 62814)","('74.125.199.108', 993)",ESTABLISHED
290,"('10.250.104.122', 62816)","('74.125.199.108', 993)",ESTABLISHED
290,"('10.250.104.122', 62814)","('74.125.199.108', 993)",ESTABLISHED
290,"('10.250.104.122', 62816)","('74.125.199.108', 993)",ESTABLISHED
290,"('10.250.104.122', 63322)","('17.133.229.73', 993)",ESTABLISHED
90,"('10.250.104.122', 62825)","('17.249.28.26', 5223)",ESTABLISHED
90,"('10.250.104.122', 62825)","('17.249.28.26', 5223)",ESTABLISHED
90,"('10.250.104.122', 62839)","('17.188.166.17', 5223)",ESTABLISHED
90,"('10.250.104.122', 62839)","('17.188.166.17', 5223)",ESTABLISHED
475,"('10.250.104.122', 62832)","('104.154.127.107', 80)",ESTABLISHED
545,"('10.250.104.122', 63958)","('54.225.78.56', 443)",ESTABLISHED
545,"('10.250.104.122', 63958)","('54.225.78.56', 443)",ESTABLISHED
545,"('10.250.104.122', 64136)","('52.203.232.227', 443)",ESTABLISHED
545,"('10.250.104.122', 64136)","('52.203.232.227', 443)",ESTABLISHED
378,"('10.250.104.122', 58910)","('108.174.10.10', 443)",ESTABLISHED
378,"('10.250.104.122', 64126)","('216.58.195.78', 443)",ESTABLISHED
378,"('10.250.104.122', 62585)","('108.174.10.10', 443)",ESTABLISHED
522,"('127.0.0.1', 49166)","('127.0.0.1', 64078)",ESTABLISHED
41513,"('10.250.104.122', 62823)","('173.194.202.188', 5228)",ESTABLISHED
41513,"('10.250.104.122', 64120)","('216.58.195.78', 443)",ESTABLISHED
438,"('127.0.0.1', 64078)","('127.0.0.1', 49166)",ESTABLISHED
